日期,时间,员工,机台编号,产量
2023年12月22日,9:48:56,总经理,管状端子机1,11
2023年12月22日,9:49:20,总经理,管状端子机1,11
2023年12月22日,9:49:22,总经理,管状端子机1,11
2023年12月22日,9:49:23,总经理,管状端子机1,11
2023年12月22日,9:58:08,总经理,管状端子机1,11
2023年12月22日,10:11:36,总经理,管状端子机1,11
2023年12月22日,10:11:42,总经理,管状端子机1,11
2023年12月22日,10:11:56,总经理,管状端子机1,11
2023年12月22日,10:11:56,总经理,管状端子机1,11
2023年12月22日,10:11:57,总经理,管状端子机1,11
2023年12月22日,10:11:57,总经理,管状端子机1,11
2023年12月22日,10:11:57,总经理,管状端子机1,11
2023年12月22日,10:11:57,总经理,管状端子机1,11
2023年12月22日,10:11:58,总经理,管状端子机1,11
2023年12月22日,10:29:36,总经理,管状端子机1,11
2023年12月22日,10:29:48,总经理,管状端子机1,11
2023年12月22日,10:31:09,总经理,管状端子机1,11
2023年12月22日,10:31:36,总经理,管状端子机1,11
2023年12月22日,10:33:05,总经理,管状端子机1,11
2023年12月22日,10:33:06,总经理,管状端子机1,11
2023年12月22日,10:33:07,总经理,管状端子机1,11
2023年12月22日,10:33:07,总经理,管状端子机1,11
2023年12月22日,10:33:43,总经理,管状端子机1,11
2023年12月22日,10:33:44,总经理,管状端子机1,11
